timestamp,city,country,temperature,feels_like,humidity,pressure,wind_speed,clouds,visibility,weather_score
2026-07-11T20:14:51.218582+00:00,Berlin,DE,21.73,21.34,53,1019,3.58,4,10000.0,94.56
2026-07-11T20:14:51.252582+00:00,Hamburg,DE,22.11,22.41,78,1021,0.6,100,10000.0,76.86
2026-07-11T20:14:51.287136+00:00,München,DE,21.32,21.02,58,1019,2.76,0,10000.0,95.33
2026-07-11T20:14:51.326060+00:00,Köln,DE,26.08,26.08,49,1019,3.94,5,10000.0,86.36
2026-07-11T20:14:51.363010+00:00,Frankfurt am Main,DE,26.67,26.63,40,1020,3.97,11,10000.0,84.25
2026-07-11T20:14:51.397438+00:00,Stuttgart,DE,24.47,24.3,51,1018,3.84,0,10000.0,90.45
2026-07-11T20:14:51.431941+00:00,Düsseldorf,DE,26.45,26.45,41,1019,3.58,4,10000.0,86.2
2026-07-11T20:14:51.464628+00:00,Leipzig,DE,21.78,21.45,55,1019,1.98,19,10000.0,94.33
2026-07-11T20:14:51.501240+00:00,Dresden,DE,21.86,21.43,51,1019,1.34,57,10000.0,89.56
2026-07-11T20:14:51.536654+00:00,Paris,FR,31.17,30.45,35,1015,0.89,0,10000.0,80.59
2026-07-11T20:14:51.574286+00:00,London,GB,23.52,23.57,63,1021,3.58,0,10000.0,91.46
2026-07-11T20:14:51.608881+00:00,Amsterdam,NL,21.65,21.99,81,1021,3.58,1,10000.0,86.45
2026-07-11T20:14:51.647297+00:00,Brüssel,BE,25.66,25.95,64,1019,4.47,0,10000.0,85.72
2026-07-11T20:14:51.682316+00:00,Rom,IT,26.84,29.39,80,1016,1.84,83,10000.0,67.66
2026-07-11T20:14:51.715018+00:00,Madrid,ES,33.48,31.6,22,1007,0.89,0,10000.0,75.97
2026-07-11T20:14:51.748069+00:00,Wien,AT,23.68,23.28,45,1018,0.89,78,10000.0,83.87
2026-07-11T20:14:51.784369+00:00,Prag,CZ,19.39,19.06,64,1020,0.26,0,10000.0,92.87
2026-07-11T20:14:51.817480+00:00,Zürich,CH,23.05,22.56,44,1016,1.95,10,10000.0,94.06
